No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
170,전라남도,담양군,0.7329,0.547,0.4273,0.6428,0.2121,0.3737,0.7326,0.6318
171,전라남도,곡성군,0.0302,0.4416,0.4876,0.8191,0.0748,0.778,0.5911,0.8735
172,전라남도,구례군,0.9492,0.6572,0.796,0.8333,0.0555,0.3922,0.6244,0.743
173,전라남도,고흥군,0.5679,0.4851,0.715,0.8551,0.0151,0.189,0.1995,0.5015
174,전라남도,보성군,0.999,0.5853,0.6399,0.9192,0.0377,0.0683,0.3088,0.6882
175,전라남도,화순군,0.8555,0.6129,0.6547,0.6607,0.2053,0.6615,0.6785,0.7755
176,전라남도,장흥군,0.6137,0.24,0.6419,0.7342,0.1096,0.1344,0.3267,0.5507
177,전라남도,강진군,0.3273,0.4792,0.6645,0.7295,0.0801,0.2276,0.6734,0.6882
178,전라남도,해남군,0.5089,0.5408,0.5232,0.7229,0.0664,,0.3024,0.4834
179,전라남도,영암군,0.2035,0.2897,0.3806,0.2336,0.5254,0.5228,0.2163,0.8807
180,전라남도,무안군,0.4075,0.4197,0.5,0.7162,0.2631,0.8237,0.5591,0.7899
181,전라남도,함평군,0.9695,0.7103,0.6345,0.8023,0.0365,0.4961,0.4599,0.7066
182,전라남도,영광군,0.3123,0.4051,0.6475,0.7491,0.2436,0.5122,0.1876,0.6159
183,전라남도,장성군,0.9096,0.4592,0.6643,0.8814,0.2061,0.0853,0.5321,0.7513
184,전라남도,완도군,0.2788,0.2666,0.7232,0.8204,0.0996,0.0837,0.4794,0.6135
185,전라남도,진도군,0.0692,0.1898,0.6804,0.894,0.0593,0.2949,0.2691,0.7364
186,전라남도,신안군,0.5456,0.1162,0.6037,0.8988,0.0203,0.2695,0.1915,0.606
187,경상북도,포항시,0.503,0.3855,0.2703,0.2852,0.4484,0.6452,0.5338,0.3689
188,경상북도,경주시,0.3157,0.3539,0.1795,0.5335,0.5391,0.6627,0.3691,0.2951
189,경상북도,김천시,0.8159,0.3326,0.2369,0.5807,0.2879,0.5189,0.2687,0.2332
190,경상북도,안동시,0.2933,0.4155,0.4685,0.5613,0.225,0.7815,0.6605,0.3937
191,경상북도,구미시,0.1863,0.0585,0.2672,0.2851,0.7075,0.9158,0.3133,0.3438
192,경상북도,영주시,0.8414,0.2906,0.6277,0.4795,0.2283,0.6489,0.5389,0.2259
193,경상북도,영천시,0.2007,0.3744,0.2148,0.555,0.2719,0.3817,0.087,0.4758
194,경상북도,상주시,0.8776,0.4055,0.3812,0.7916,0.156,0.4685,0.3588,0.4531
195,경상북도,문경시,0.6702,0.3052,0.471,0.5476,0.1794,0.4576,0.3856,0.5747
196,경상북도,경산시,0.1061,0.4052,0.2344,0.6624,0.4572,0.7763,0.4969,0.2563
197,경상북도,군위군,,0.0055,0.5793,0.5672,0.1921,0.247,0.3773,0.6978
198,경상북도,의성군,0.0052,0.2237,0.7196,0.7042,0.0567,0.0836,0.033,0.513
199,경상북도,청송군,0.6998,0.0907,0.8442,0.6717,0.1531,0.4436,0.5349,0.7737
200,경상북도,영양군,0.5081,0.0987,0.8188,0.7698,,0.1529,0.4313,0.6527
201,경상북도,영덕군,0.166,0.3655,0.3569,0.4786,0.1274,0.0139,0.4675,0.3577
